song_title,composer,milliseconds,bytes
Na Frente Da TV,Bino/Da Gama/Lazao/Ras Bernardo,289750,9633659
Downtown,Cidade Negra,239725,8024386
Sábado A Noite,Lulu Santos,267363,8895073
A Cor Do Sol,Bernardo Vilhena/Da Gama/Lazao,273031,9142937
Eu Também Quero Beijar,Fausto Nilo/Moraes Moreira/Pepeu Gomes,211147,7029400
Noite Do Prazer,,311353,10309980
À Francesa,,244532,8150846
Cada Um Cada Um (A Namoradeira),,253492,8441034
Linha Do Equador,,244715,8123466
Amor Demais,,254040,8420093
Férias,,264202,8731945
Gostava Tanto De Você,,230452,7685326
Flor Do Futuro,,275748,9205941
Felicidade Urgente,,266605,8873358
Livre Pra Viver,,214595,7111596
"Dig-Dig, Lambe-Lambe (Ao Vivo)",Cassiano Costa/Cintia Maviane/J.F./Lucas Costa,205479,6892516
Pererê,Augusto Conceição/Chiclete Com Banana,198661,6643207
TriboTchan,Cal Adan/Paulo Levi,194194,6507950
"Tapa Aqui, Descobre Ali",Paulo Levi/W. Rangel,188630,6327391
Daniela,Jorge Cardoso/Pierre Onasis,230791,7748006
Bate Lata,Fábio Nolasco/Gal Sales/Ivan Brasil,206733,7034985
Garotas do Brasil,"Garay, Ricardo Engels/Luca Predabom/Ludwig, Carlos Henrique/Maurício Vieira",210155,6973625
Levada do Amor (Ailoviu),Luiz Wanderley/Paulo Levi,190093,6457752
Lavadeira,"Do Vale, Valverde/Gal Oliveira/Luciano Pinto",214256,7254147
Reboladeira,Cal Adan/Ferrugem/Julinho Carioca/Tríona Ní Dhomhnaill,210599,7027525
É que Nessa Encarnação Eu Nasci Manga,Lucina/Luli,196519,6568081
Reggae Tchan,"Cal Adan/Del Rey, Tension/Edu Casanova",206654,6931328
My Love,Jauperi/Zeu Góes,203493,6772813
Latinha de Cerveja,Adriano Bernandes/Edmar Neves,166687,5532564
You Shook Me,J B Lenoir/Willie Dixon,315951,10249958
I Can't Quit You Baby,Willie Dixon,263836,8581414
Communication Breakdown,Jimmy Page/John Bonham/John Paul Jones,192653,6287257
Dazed and Confused,Jimmy Page,401920,13035765
The Girl I Love She Got Long Black Wavy Hair,Jimmy Page/John Bonham/John Estes/John Paul Jones/Robert Plant,183327,5995686
What is and Should Never Be,Jimmy Page/Robert Plant,260675,8497116
Communication Breakdown(2),Jimmy Page/John Bonham/John Paul Jones,161149,5261022
Travelling Riverside Blues,Jimmy Page/Robert Johnson/Robert Plant,312032,10232581
Whole Lotta Love,Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon,373394,12258175
Somethin' Else,Bob Cochran/Sharon Sheeley,127869,4165650
Communication Breakdown(3),Jimmy Page/John Bonham/John Paul Jones,185260,6041133
I Can't Quit You Baby(2),Willie Dixon,380551,12377615
You Shook Me(2),J B Lenoir/Willie Dixon,619467,20138673
How Many More Times,Chester Burnett/Jimmy Page/John Bonham/John Paul Jones/Robert Plant,711836,23092953
Debra Kadabra,Frank Zappa,234553,7649679
Carolina Hard-Core Ecstasy,Frank Zappa,359680,11731061
Sam With The Showing Scalp Flat Top,Don Van Vliet,171284,5572993
Poofter's Froth Wyoming Plans Ahead,Frank Zappa,183902,6007019
200 Years Old,Frank Zappa,272561,8912465
Cucamonga,Frank Zappa,144483,4728586
Advance Romance,Frank Zappa,677694,22080051
Man With The Woman Head,Don Van Vliet,88894,2922044
Muffin Man,Frank Zappa,332878,10891682
Vai-Vai 2001,,276349,9402241
X-9 2001,,273920,9310370
Gavioes 2001,,282723,9616640
Nene 2001,,284969,9694508
Rosas De Ouro 2001,,284342,9721084
Mocidade Alegre 2001,,282488,9599937
Camisa Verde 2001,,283454,9633755
Leandro De Itaquera 2001,,274808,9451845
Tucuruvi 2001,,287921,9883335
Aguia De Ouro 2001,,284160,9698729
Ipiranga 2001,,248293,8522591
Morro Da Casa Verde 2001,,284708,9718778
Perola Negra 2001,,281626,9619196
Sao Lucas 2001,,296254,10020122
Guanabara,Marcos Valle,247614,8499591
Mas Que Nada,Jorge Ben,248398,8255254
Vôo Sobre o Horizonte,J.r.Bertami/Parana,225097,7528825
A Paz,Donato/Gilberto Gil,263183,8619173
Wave (Vou te Contar),Antonio Carlos Jobim,271647,9057557
Água de Beber,Antonio Carlos Jobim/Vinicius de Moraes,146677,4866476
Samba da Bençaco,Baden Powell/Vinicius de Moraes,282200,9440676
Pode Parar,Jorge Vercilo/Jota Maranhao,179408,6046678
Menino do Rio,Caetano Veloso,262713,8737489
Ando Meio Desligado,Caetano Veloso,195813,6547648
Mistério da Raça,Luiz Melodia/Ricardo Augusto,184320,6191752
All Star,Nando Reis,176326,5891697
Menina Bonita,Alexandre Brazil/Pedro Luis/Rodrigo Cabelo,237087,7938246
Pescador de Ilusões,Macelo Yuka/O Rappa,245524,8267067
À Vontade (Live Mix),Bombom/Ed Motta,180636,5972430
Maria Fumaça,Luiz Carlos/Oberdan,141008,4743149
Sambassim (dj patife remix),Alba Carvalho/Fernando Porto,213655,7243166
Garota De Ipanema,Vários,279536,9141343
Tim Tim Por Tim Tim,Vários,213237,7143328
Tarde Em Itapoã,Vários,313704,10344491
Tanto Tempo,Vários,170292,5572240
Eu Vim Da Bahia - Live,Vários,157988,5115428
Alô Alô Marciano,Vários,238106,8013065
Linha Do Horizonte,Vários,279484,9275929
Only A Dream In Rio,Vários,371356,12192989
Abrir A Porta,Vários,271960,8991141
Alice,Vários,165982,5594341
Momentos Que Marcam,Vários,280137,9313740
Um Jantar Pra Dois,Vários,237714,7819755
Bumbo Da Mangueira,Vários,270158,9073350
Mr Funk Samba,Vários,213890,7102545
Santo Antonio,Vários,162716,5492069
Por Você,Vários,205557,6792493
Só Tinha De Ser Com Você,Vários,389642,13085596
Free Speech For The Dumb,Molaney/Morris/Roberts/Wainwright,155428,5076048
It's Electric,Harris/Tatler,213995,6978601
Sabbra Cadabra,Black Sabbath,380342,12418147
Turn The Page,Seger,366524,11946327
Die Die My Darling,Danzig,149315,4867667
Loverman,Cave,472764,15446975
Mercyful Fate,Diamond/Shermann,671712,21942829
Astronomy,A.Bouchard/J.Bouchard/S.Pearlman,397531,13065612
Whiskey In The Jar,Traditional,305005,9943129
Tuesday's Gone,Collins/Van Zandt,545750,17900787
The More I See,Molaney/Morris/Roberts/Wainwright,287973,9378873
A Kind Of Magic,Roger Taylor,262608,8689618
Under Pressure,Queen & David Bowie,236617,7739042
Radio GA GA,Roger Taylor,343745,11358573
I Want It All,Queen,241684,7876564
I Want To Break Free,John Deacon,259108,8552861
Innuendo,Queen,387761,12664591
It's A Hard Life,Freddie Mercury,249417,8112242
Breakthru,Queen,249234,8150479
Who Wants To Live Forever,Brian May,297691,9577577
Headlong,Queen,273057,8921404
The Miracle,Queen,294974,9671923
I'm Going Slightly Mad,Queen,248032,8192339
The Invisible Man,Queen,238994,7920353
Hammer To Fall,Brian May,220316,7255404
Friends Will Be Friends,Freddie Mercury & John Deacon,248920,8114582
The Show Must Go On,Queen,263784,8526760
One Vision,Queen,242599,7936928
Detroit Rock City,"Paul Stanley, B. Ezrin",218880,7146372
Black Diamond,Paul Stanley,314148,10266007
Hard Luck Woman,Paul Stanley,216032,7109267
Sure Know Something,"Paul Stanley, Vincent Poncia",242468,7939886
Love Gun,Paul Stanley,196257,6424915
Deuce,Gene Simmons,185077,6097210
Goin' Blind,"Gene Simmons, S. Coronel",216215,7045314
Shock Me,Ace Frehley,227291,7529336
Do You Love Me,"Paul Stanley, B. Ezrin, K. Fowley",214987,6976194
She,"Gene Simmons, S. Coronel",248346,8229734
I Was Made For Loving You,"Paul Stanley, Vincent Poncia, Desmond Child",271360,9018078
Shout It Out Loud,"Paul Stanley, Gene Simmons, B. Ezrin",219742,7194424
God Of Thunder,Paul Stanley,255791,8309077
Calling Dr. Love,Gene Simmons,225332,7395034
Beth,"S. Penridge, Bob Ezrin, Peter Criss",166974,5360574
Strutter,"Paul Stanley, Gene Simmons",192496,6317021
Rock And Roll All Nite,"Paul Stanley, Gene Simmons",173609,5735902
Cold Gin,Ace Frehley,262243,8609783
Plaster Caster,Gene Simmons,207333,6801116
God Gave Rock 'n' Roll To You,"Paul Stanley, Gene Simmons, Rus Ballard, Bob Ezrin",320444,10441590
Heart of the Night,,273737,9098263
De La Luz,,315219,10518284
Westwood Moon,,295627,9765802
Midnight,,266866,8851060
Playtime,,273580,9070880
Surrender,,287634,9422926
Valentino's,,296124,9848545
Believe,,310778,10317185
As We Sleep,,316865,10429398
When Evening Falls,,298135,9863942
J Squared,,288757,9480777
Best Thing,,274259,9069394
Maria,Billie Joe Armstrong -Words Green Day -Music,167262,5484747
Poprocks And Coke,Billie Joe Armstrong -Words Green Day -Music,158354,5243078
Longview,Billie Joe Armstrong -Words Green Day -Music,234083,7714939
Welcome To Paradise,Billie Joe Armstrong -Words Green Day -Music,224208,7406008
Basket Case,Billie Joe Armstrong -Words Green Day -Music,181629,5951736
When I Come Around,Billie Joe Armstrong -Words Green Day -Music,178364,5839426
She,Billie Joe Armstrong -Words Green Day -Music,134164,4425128
J.A.R. (Jason Andrew Relva),Mike Dirnt -Words Green Day -Music,170997,5645755
Geek Stink Breath,Billie Joe Armstrong -Words Green Day -Music,135888,4408983
Brain Stew,Billie Joe Armstrong -Words Green Day -Music,193149,6305550
Jaded,Billie Joe Armstrong -Words Green Day -Music,90331,2950224
Walking Contradiction,Billie Joe Armstrong -Words Green Day -Music,151170,4932366
Stuck With Me,Billie Joe Armstrong -Words Green Day -Music,135523,4431357
Hitchin' A Ride,Billie Joe Armstrong -Words Green Day -Music,171546,5616891
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,153600,5075241
Redundant,Billie Joe Armstrong -Words Green Day -Music,198164,6481753
Nice Guys Finish Last,Billie Joe Armstrong -Words Green Day -Music,170187,5604618
Minority,Billie Joe Armstrong -Words Green Day -Music,168803,5535061
Warning,Billie Joe Armstrong -Words Green Day -Music,221910,7343176
Waiting,Billie Joe Armstrong -Words Green Day -Music,192757,6316430
Macy's Day Parade,Billie Joe Armstrong -Words Green Day -Music,213420,7075573
Into The Light,David Coverdale,76303,2452653
River Song,David Coverdale,439510,14359478
She Give Me ...,David Coverdale,252551,8385478
Don't You Cry,David Coverdale,347036,11269612
Love Is Blind,David Coverdale/Earl Slick,344999,11409720
Slave,David Coverdale/Earl Slick,291892,9425200
Cry For Love,Bossi/David Coverdale/Earl Slick,293015,9567075
Living On Love,Bossi/David Coverdale/Earl Slick,391549,12785876
Midnight Blue,David Coverdale/Earl Slick,298631,9750990
Too Many Tears,Adrian Vanderberg/David Coverdale,359497,11810238
Don't Lie To Me,David Coverdale/Earl Slick,283585,9288007
Wherever You May Go,David Coverdale,239699,7803074
Grito De Alerta,Gonzaga Jr.,202213,6539422
Não Dá Mais Pra Segurar (Explode Coração),,219768,7083012
Começaria Tudo Outra Vez,,196545,6473395
O Que É O Que É ?,,259291,8650647
Sangrando,Gonzaga Jr/Gonzaguinha,169717,5494406
"Diga Lá, Coração",,255921,8280636
Lindo Lago Do Amor,Gonzaga Jr.,249678,8353191
Eu Apenas Queria Que Voçê Soubesse,,155637,5130056
