awardYear,category,prizeAmount,prizeAmountAdjusted,name,gender,birth_continent
1912,Physics,140476,6753654,Gustaf Dalén,male,Europe
1925,Physics,118165,3211005,Gustav Hertz,male,Europe
1926,Peace,116960,3273134,Gustav Stresemann,male,Europe
2004,Physics,10000000,11762861,H. David Politzer,male,North America
1968,Physiology or Medicine,350000,3052326,H. Gobind Khorana,male,Asia
2002,Physiology or Medicine,10000000,12034660,H. Robert Horvitz,male,North America
1955,Literature,190214,2681588,Halldór Laxness,male,Europe
1978,Physiology or Medicine,725000,2898454,Hamilton O. Smith,male,North America
1970,Physics,400000,3177966,Hannes Alfvén,male,Europe
1967,Physics,320000,2843602,Hans Bethe,male,Europe
1930,Chemistry,172947,5066807,Hans Fischer,male,Europe
1989,Physics,3000000,5242311,Hans G. Dehmelt,male,Europe
1953,Physiology or Medicine,175293,2567769,Hans Krebs,male,Europe
1935,Physiology or Medicine,159917,4997406,Hans Spemann,male,Europe
1929,Chemistry,172760,4907955,Hans von Euler-Chelpin,male,Europe
2008,Physiology or Medicine,10000000,10926573,Harald zur Hausen,male,Europe
1934,Chemistry,162608,5167627,Harold C. Urey,male,North America
1989,Physiology or Medicine,3000000,5242311,Harold E. Varmus,male,North America
2005,Literature,10000000,11711430,Harold Pinter,male,Europe
1990,Economic Sciences,4000000,6329114,Harry M. Markowitz,male,North America
1974,Literature,550000,3263449,Harry Martinson,male,Europe
1988,Chemistry,2500000,4645689,Hartmut Michel,male,Europe
1913,Physics,143010,6875481,Heike Kamerlingh Onnes,male,Europe
1972,Literature,480000,3345725,Heinrich Böll,male,Europe
1986,Physics,2000000,4098361,Heinrich Rohrer,male,Europe
1927,Chemistry,126501,3593778,Heinrich Wieland,male,Europe
1902,Physics,141847,8059489,Hendrik A. Lorentz,male,Europe
1903,Physics,141358,7795478,Henri Becquerel,male,Europe
1927,Literature,126501,3593778,Henri Bergson,male,Europe
1913,Peace,143010,6875481,Henri La Fontaine,male,Europe
1906,Chemistry,138536,7421571,Henri Moissan,male,Europe
1943,Physiology or Medicine,123691,2520876,Henrik Dam,male,Europe
1917,Literature,133823,3920596,Henrik Pontoppidan,male,Europe
1901,Peace,150782,8567159,Henry Dunant,male,Europe
1973,Peace,510000,3331882,Henry Kissinger,male,Europe
1983,Chemistry,1500000,3715324,Henry Taube,male,North America
1990,Physics,4000000,6329114,Henry W. Kendall,male,North America
1905,Literature,138089,7615202,Henryk Sienkiewicz,male,Europe
1985,Chemistry,1800000,3843964,Herbert A. Hauptman,male,North America
1979,Chemistry,800000,2988048,Herbert C. Brown,male,Europe
2000,Physics,9000000,11333109,Herbert Kroemer,male,Europe
1944,Physiology or Medicine,121841,2510460,Herbert S. Gasser,male,North America
1978,Economic Sciences,725000,2898454,Herbert Simon,male,North America
1946,Literature,121524,2503929,Hermann Hesse,male,Europe
1946,Physiology or Medicine,121524,2503929,Hermann J. Muller,male,North America
1953,Chemistry,175293,2567769,Hermann Staudinger,male,Europe
2009,Literature,10000000,10958504,Herta Müller,female,Europe
2000,Chemistry,9000000,11333109,Hideki Shirakawa,male,Asia
1949,Physics,156290,2930438,Hideki Yukawa,male,Asia
2014,Physics,8000000,8379888,Hiroshi Amano,male,Asia
1921,Peace,121573,2532771,Hjalmar Branting,male,Europe
1998,Physics,7600000,9713701,Horst L. Störmer,male,Europe
1975,Physiology or Medicine,630000,3404179,Howard M. Temin,male,North America
1955,Physiology or Medicine,190214,2681588,Hugo Theorell,male,Europe
1958,Physics,214559,2646698,Igor Y. Tamm,male,Europe
1958,Physics,214559,2646698,Il´ja M. Frank,male,Europe
1908,Physiology or Medicine,139800,7084459,Ilya Mechnikov,male,Europe
1977,Chemistry,700000,3080986,Ilya Prigogine,male,Europe
2002,Literature,10000000,12034660,Imre Kertész,male,Europe
1904,Peace,140859,7767960,Institute of International Law,,
2007,Peace,10000000,11301989,Intergovernmental Panel on Climate Change,,
2005,Peace,10000000,11711430,International Atomic Energy Agency,,
2017,Peace,9000000,9176183,International Campaign to Abolish Nuclear Weapons (ICAN),,
1997,Peace,7500000,9572839,International Campaign to Ban Landmines,,
1917,Peace,133823,3920596,International Committee of the Red Cross,,
1969,Peace,375000,3181561,International Labour Organization,,
1985,Peace,1800000,3843964,International Physicians for the Prevention of Nuclear War,,
1935,Chemistry,159917,4997406,Irène Joliot-Curie,female,Europe
1932,Chemistry,171753,5279293,Irving Langmuir,male,North America
2004,Chemistry,10000000,11762861,Irwin Rose,male,North America
1978,Literature,725000,2898454,Isaac Bashevis Singer,male,Europe
2014,Physics,8000000,8379888,Isamu Akasaki,male,Asia
1944,Physics,121841,2510460,Isidor Isaac Rabi,male,Europe
1933,Literature,170332,5413093,Ivan Bunin,male,Europe
1904,Physiology or Medicine,140859,7767960,Ivan Pavlov,male,Europe
1973,Physics,510000,3331882,Ivar Giaever,male,Europe
1961,Literature,250233,2878447,Ivo Andric,male,Europe
1987,Physics,2175000,4274764,J. Georg Bednorz,male,Europe
1963,Physics,265000,2839286,J. Hans D. Jensen,male,Europe
2003,Literature,10000000,11807305,J. M. Coetzee,male,Africa
1989,Physiology or Medicine,3000000,5242311,J. Michael Bishop,male,North America
2016,Physics,8000000,8301051,J. Michael Kosterlitz,male,Europe
2005,Physiology or Medicine,10000000,11711430,J. Robin Warren,male,Oceania
1906,Physics,138536,7421571,J.J. Thomson,male,Europe
1922,Literature,122483,3145967,Jacinto Benavente,male,Europe
2000,Physics,9000000,11333109,Jack Kilby,male,North America
1988,Physics,2500000,4645689,Jack Steinberger,male,Europe
2009,Physiology or Medicine,10000000,10958504,Jack W. Szostak,male,Europe
1901,Chemistry,150782,8567159,Jacobus H. van 't Hoff,male,Europe
2017,Chemistry,9000000,9176183,Jacques Dubochet,male,Europe
1965,Physiology or Medicine,282000,2782895,Jacques Monod,male,Europe
1996,Economic Sciences,7400000,9490424,James A. Mirrlees,male,Europe
1946,Chemistry,121524,2503929,James B. Sumner,male,North America
1935,Physics,159917,4997406,James Chadwick,male,Europe
1980,Physics,880000,2889667,James Cronin,male,North America
1977,Economic Sciences,700000,3080986,James E. Meade,male,Europe
2013,Physiology or Medicine,8000000,8365867,James E. Rothman,male,North America
1925,Physics,118165,3211005,James Franck,male,Europe
2000,Economic Sciences,9000000,11333109,James J. Heckman,male,North America
1986,Economic Sciences,2000000,4098361,James M. Buchanan Jr.,male,North America
2018,Physiology or Medicine,9000000,9000000,James P. Allison,male,North America
2019,Physics,9000000,9000000,James Peebles,male,North America
1975,Physics,630000,3404179,James Rainwater,male,North America
1981,Economic Sciences,1000000,2929688,James Tobin,male,North America
1962,Physiology or Medicine,257220,2836985,James Watson,male,North America
1969,Economic Sciences,375000,3181561,Jan Tinbergen,male,Europe
1931,Peace,173206,5238085,Jane Addams,female,North America
1959,Chemistry,220678,2704387,Jaroslav Heyrovsky,male,Europe
1984,Literature,1650000,3782090,Jaroslav Seifert,male,Europe
1926,Physics,116960,3273134,Jean Baptiste Perrin,male,Europe
1980,Physiology or Medicine,880000,2889667,Jean Dausset,male,Europe
2014,Economic Sciences,8000000,8379888,Jean Tirole,male,Europe
2008,Literature,10000000,10926573,Jean-Marie Gustave Le Clézio,male,Europe
1987,Chemistry,2175000,4274764,Jean-Marie Lehn,male,Europe
1964,Literature,273000,2828039,Jean-Paul Sartre,male,Europe
2016,Chemistry,8000000,8301051,Jean-Pierre Sauvage,male,Europe
2017,Physiology or Medicine,9000000,9176183,Jeffrey C. Hall,male,North America
1997,Chemistry,7500000,9572839,Jens C. Skou,male,Europe
1990,Physics,4000000,6329114,Jerome I. Friedman,male,North America
1985,Chemistry,1800000,3843964,Jerome Karle,male,North America
2002,Peace,10000000,12034660,Jimmy Carter,male,North America
2017,Chemistry,9000000,9176183,Joachim Frank,male,Europe
1997,Peace,7500000,9572839,Jody Williams,female,North America
1988,Chemistry,2500000,4645689,Johann Deisenhofer,male,Europe
1910,Physics,140703,7130220,Johannes Diderik van der Waals,male,Europe
1926,Physiology or Medicine,116960,3273134,Johannes Fibiger,male,Europe
1919,Physics,133127,2377268,Johannes Stark,male,Europe
1944,Literature,121841,2510460,Johannes V. Jensen,male,Europe
2002,Chemistry,10000000,12034660,John B. Fenn,male,North America
2019,Chemistry,9000000,9000000,John B. Goodenough,male,Europe
1956,Physics,200123,2699501,John Bardeen,male,North America
1994,Economic Sciences,7000000,9249471,John C. Harsanyi,male,Europe
1962,Chemistry,257220,2836985,John C. Kendrew,male,Europe
2006,Physics,10000000,11552680,John C. Mather,male,North America
1986,Chemistry,2000000,4098361,John C. Polanyi,male,Europe
1951,Physics,167612,2686090,John Cockcroft,male,Europe
1975,Chemistry,630000,3404179,John Cornforth,male,Oceania
2002,Physiology or Medicine,10000000,12034660,John E. Sulston,male,Europe
1997,Chemistry,7500000,9572839,John E. Walker,male,Europe
1954,Physiology or Medicine,181647,2640218,John F. Enders,male,North America
1994,Economic Sciences,7000000,9249471,John F. Nash Jr.,male,North America
1932,Literature,171753,5279293,John Galsworthy,male,Europe
1946,Chemistry,121524,2503929,John H. Northrop,male,North America
1977,Physics,700000,3080986,John H. van Vleck,male,North America
1998,Peace,7600000,9713701,John Hume,male,Europe
2005,Physics,10000000,11711430,John L. Hall,male,North America
1923,Physiology or Medicine,114935,3169164,John Macleod,male,Europe
2014,Physiology or Medicine,8000000,8379888,John O'Keefe,male,North America
1998,Chemistry,7600000,9713701,John Pople,male,Europe
1972,Economic Sciences,480000,3345725,John R. Hicks,male,Europe
1946,Peace,121524,2503929,John R. Mott,male,North America
1982,Physiology or Medicine,1150000,3102518,John R. Vane,male,Europe
1962,Literature,257220,2836985,John Steinbeck,male,North America
1904,Literature,140859,7767960,José Echegaray,male,Europe
1996,Peace,7400000,9490424,José Ramos-Horta,male,Oceania
1998,Literature,7600000,9713701,José Saramago,male,Europe
1987,Literature,2175000,4274764,Joseph Brodsky,male,Europe
